Rosseland 2;J11 Nivå 2 avd 04
Frøyland 1;J13 2. div avd 02 Vårserie
Eiger 1;G16 1. div avd 01
Sandved 2;G12 Nivå 2 avd 06
Madla 2;G19 1. div avd 01
Vigrestad 1;J11 Nivå 2 avd 04
Havdur 1;J13 2. div avd 02 Vårserie
Nærbø 1;J16 1. div avd 01 Vårserie
Rosseland 2;G12 Nivå 2 avd 06
Vardeneset 1;J16 1. div avd 01 Vårserie
Eiger 2;J13 2. div avd 02 Vårserie
Eiger 1;J16 1. div avd 01 Vårserie
Voll 1;G12 Nivå 2 avd 06
Ålgård 1;J11 Nivå 3 avd 03
Lura 4;G09 avd 14
Lura 1;G11 Nivå 2 avd 07
Orre 1;J13 2. div avd 02 Vårserie
Ålgård 4;G10 Nivå 3 avd 02
Hana 2;G09 avd 15
Riska 1;G12 Nivå 2 avd 06
Midtbygdens 1;J16 1. div avd 01 Vårserie
Voll 3;G14 2. div avd 03
Kåsen;OBOS cup menn 2017
Moi;OBOS cup menn 2017
Sola;OBOS cupen G16
Voll 1;J13 2. div avd 04 Høst
Hundvåg 1;J13 2. div avd 04 Høst
Mastra 1;J13 2. div avd 04 Høst
Randaberg 2;J13 2. div avd 04 Høst
Djerv 1919;OBOS cup menn 2017
Austrått 1;NM G19
