3;11.05.2017;torsdag;20:00;Austrått /Ganddal 1;1 - 1;Vardeneset 1;Iglemyr kunstgressbane;J16 1. div avd 01 Vårserie;11216101010
4;12.05.2017;fredag;18:00;Austrått 1;1 - 2;Vaulen 1;Iglemyr kunstgressbane;G16 1. div avd 01;11116101020
10;14.05.2017;søndag;17:00;Midtbygdens 1;5 - 0;Austrått 1;Tau kunstgress;G19 1. div avd 01;11119101068
2;14.05.2017;søndag;19:30;Bogafjell;1 - 3;Austrått;Bogafjell Kunstgressbane;OBOS cup menn 2017;11533301014
3;15.05.2017;mandag;16:30;Lura 1;-;Austrått 2;;J08 avd 06;11208106011
3;15.05.2017;mandag;17:00;Riska 3;-;Austrått 1;;G07 avd 17;11107117010
3;15.05.2017;mandag;17:00;Sandnes Ulf 2;-;Austrått 5;;G08 avd 17;11108117009
3;15.05.2017;mandag;17:00;Sandnes Ulf 5;-;Austrått 2;;G09 avd 14;11109114009
5;15.05.2017;mandag;18:30;Austrått /Hana 1;1 - 2;Eiger 2;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202017
4;15.05.2017;mandag;19:00;Austrått 2;1 - 3;Havdur;Iglemyr gras;M 5 div 2017 avdeling 02;11120502016
4;15.05.2017;mandag;20:00;Havørn 2;3 - 0;Austrått 3;Tananger kunstgress 2;M 7 div 2017 avdeling 02;11120702017
3;16.05.2017;tirsdag;17:45;Rosseland 4;-;Austrått 1;;J09 avd 06;11209106009
5;16.05.2017;tirsdag;18:00;Austrått 1;-;Sandved 2;;J12 Nivå 2 avd 02;11212202021
5;16.05.2017;tirsdag;18:00;Bjerkreim 1;-;Austrått 3;;J12 Nivå 2 avd 05;11212205021
5;16.05.2017;tirsdag;18:00;Austrått 1;-;Klepp 1;;G11 Nivå 2 avd 08;11111208021
3;16.05.2017;tirsdag;18:00;Austrått 2;-;Orstad 1;;J11 Nivå 3 avd 03;11211303007
5;16.05.2017;tirsdag;18:00;Hana 2;-;Austrått 1;;G12 Nivå 2 avd 06;11112206022
3;16.05.2017;tirsdag;18:00;Austrått 2;-;Sandnes Ulf 2;;G11 Nivå 2 avd 07;11111207010
